,Tarifa,Anio,Verano,Mes,Consumo,Precio,kwh,Minimo
0,Tarifa 1,2022,,ENERO,Consumobasico,0.882,75,25
1,Tarifa 1,2022,,ENERO,Consumointermedio,1.073,65,25
2,Tarifa 1,2022,,ENERO,Consumoexcedente,3.134,,25
3,Tarifa 1,2022,,FEBRERO,Consumobasico,0.887,75,25
4,Tarifa 1,2022,,FEBRERO,Consumointermedio,1.079,65,25
5,Tarifa 1,2022,,FEBRERO,Consumoexcedente,3.153,,25
6,Tarifa 1,2022,,MARZO,Consumobasico,0.892,75,25
7,Tarifa 1,2022,,MARZO,Consumointermedio,1.085,65,25
8,Tarifa 1,2022,,MARZO,Consumoexcedente,3.172,,25
9,Tarifa 1,2022,,ABRIL,Consumobasico,0.897,75,25
10,Tarifa 1,2022,,ABRIL,Consumointermedio,1.091,65,25
11,Tarifa 1,2022,,ABRIL,Consumoexcedente,3.191,,25
12,Tarifa 1,2022,,MAYO,Consumobasico,0.902,75,25
13,Tarifa 1,2022,,MAYO,Consumointermedio,1.097,65,25
14,Tarifa 1,2022,,MAYO,Consumoexcedente,3.21,,25
15,Tarifa 1,2022,,JUNIO,Consumobasico,0.907,75,25
16,Tarifa 1,2022,,JUNIO,Consumointermedio,1.104,65,25
17,Tarifa 1,2022,,JUNIO,Consumoexcedente,3.229,,25
18,Tarifa 1,2022,,JULIO,Consumobasico,0.912,75,25
19,Tarifa 1,2022,,JULIO,Consumointermedio,1.111,65,25
20,Tarifa 1,2022,,JULIO,Consumoexcedente,3.248,,25
21,Tarifa 1,2022,,AGOSTO,Consumobasico,0.917,75,25
22,Tarifa 1,2022,,AGOSTO,Consumointermedio,1.118,65,25
23,Tarifa 1,2022,,AGOSTO,Consumoexcedente,3.267,,25
24,Tarifa 1,2022,,SEPTIEMBRE,Consumobasico,0.922,75,25
25,Tarifa 1,2022,,SEPTIEMBRE,Consumointermedio,1.125,65,25
26,Tarifa 1,2022,,SEPTIEMBRE,Consumoexcedente,3.286,,25
27,Tarifa 1,2022,,OCTUBRE,Consumobasico,0.927,75,25
28,Tarifa 1,2022,,OCTUBRE,Consumointermedio,1.132,65,25
29,Tarifa 1,2022,,OCTUBRE,Consumoexcedente,3.306,,25
30,Tarifa 1,2022,,NOVIEMBRE,Consumobasico,0.933,75,25
31,Tarifa 1,2022,,NOVIEMBRE,Consumointermedio,1.139,65,25
32,Tarifa 1,2022,,NOVIEMBRE,Consumoexcedente,3.326,,25
33,Tarifa 1,2022,,DICIEMBRE,Consumobasico,0.939,75,25
34,Tarifa 1,2022,,DICIEMBRE,Consumointermedio,1.146,65,25
35,Tarifa 1,2022,,DICIEMBRE,Consumoexcedente,3.346,,25
36,Tarifa 1A,2022,FEBRERO,ENERO,Consumobasico,0.882,75,25
37,Tarifa 1A,2022,FEBRERO,ENERO,Consumointermedio,1.073,75,25
38,Tarifa 1A,2022,FEBRERO,ENERO,Consumoexcedente,3.134,,25
39,Tarifa 1A,2022,FEBRERO,FEBRERO,Consumobasico,0.791,100,25
40,Tarifa 1A,2022,FEBRERO,FEBRERO,Consumointermedio,0.916,50,25
41,Tarifa 1A,2022,FEBRERO,FEBRERO,Consumoexcedente,3.153,,25
42,Tarifa 1A,2022,FEBRERO,MARZO,Consumobasico,0.796,100,25
43,Tarifa 1A,2022,FEBRERO,MARZO,Consumointermedio,0.921,50,25
44,Tarifa 1A,2022,FEBRERO,MARZO,Consumoexcedente,3.172,,25
45,Tarifa 1A,2022,FEBRERO,ABRIL,Consumobasico,0.801,100,25
